	對	八	七	的	一	四	機	時	後	十	九	六	滿	南	○	備	高	二	三	通	以	要	五	有	益	整
　	Ａ	Ｂ	Ｃ	Ｄ	Ｅ	Ｆ	Ｇ	Ｈ	Ｉ	Ｊ	Ｋ	Ｌ	Ｍ	Ｎ	Ｏ	Ｐ	Ｑ	Ｒ	Ｓ	Ｔ	Ｕ	Ｖ	Ｗ	Ｘ	Ｙ	Ｚ
Ａ	寸	鎮	鏡	會	金	鑑	威	感	俞	華	駐	也	貪	良	點	救	錢	創	戚	術	澳	族	錄	貸	成	之
Ｂ	不	資	凍	階	並	為	障	隱	前	半	全	比	陽	人	曾	入	隊	院	隆	隔	舒	善	遵	義	墜	凝
Ｃ	夕	輿	屬	屠	溪	宣	履	擊	中	車	夠	巴	慰	央	西	尸	輻	剝	繫	禍	殿	覆	遲	史	壁	捷
Ｄ	歹	顯	待	得	豆	照	貿	導	鬥	斗	裂	既	影	大	日	刀	殘	晚	景	題	渡	召	暴	力	力	債
Ｅ	與	兩	融	習	丑	靈	妥	群	山	辭	釀	屯	彩	夷	司	易	舉	劃	崇	頸	段	峻	逼	尹	再	正
Ｆ	下	顧	螢	豐	上	營	旗	慧	歐	飛	斷	亡	督	火	曲	戶	富	業	匪	榮	胡	區	爆	發	方	疑
Ｇ	瓜	幾	獎	動	垂	艦	己	怒	即	千	裝	就	媽	夾	甘	教	重	剩	乘	娛	毀	干	遷	女	旁	好
Ｈ	心	積	程	懊	或	悅	麵	穩	幫	手	懷	巷	悔	很	首	必	懂	稅	慌	頹	悄	惟	黎	愛	稱	靜
Ｉ	應	讀	鞏	誤	工	跡	譯	恐	申	甫	讓	該	誨	欠	言	評	讚	說	謊	譴	護	試	誕	我	講	掀
Ｊ	祭	戴	載	換	直	撫	幹	惠	控	井	裁	擒	損	是	搶	撤	協	刺	排	栽	搬	擁	挺	故	挫	擬
Ｋ	黃	質	冠	潛	王	薦	授	懲	斤	開	環	甚	氣	長	咸	徵	理	弄	靠	賞	趣	兵	廷	養	基	贊
Ｌ	麗	病	磁	勵	立	熟	疾	廳	新	辛	哀	親	彰	來	路	廠	痛	競	牽	碟	厲	確	麼	夜	壓	礎
Ｍ	買	類	矚	盼	且	關	釋	德	門	冊	往	毛	循	米	目	矛	驟	閱	縣	衝	睛	行	邊	曼	門	從
Ｎ	求	賽	觸	突	角	寫	安	憲	市	巾	究	包	勿	象	周	危	幅	剛	宗	額	竊	久	逸	敬	塞	定
Ｏ	貫	圓	囑	因	亞	距	蹈	啊	誓	單	園	號	器	跑	口	圈	戰	唬	圍	圖	嘲	品	選	嚴	嚇	跌
Ｐ	卜	貨	使	候	至	儘	牌	億	譬	平	依	卷	自	條	個	修	歸	側	係	停	偶	泉	邀	皮	片	促
Ｑ	貴	弱	獨	體	里	默	弧	愚	甲	畢	弓	規	們	兼	田	繳	蒙	界	獵	悲	獲	懼	遇	丈	酬	跟
Ｒ	兆	共	輩	著	臣	聯	舊	聽	而	耳	考	儿	惹	樂	落	乃	福	視	非	藝	萬	臨	遭	爾	勒	微
Ｓ	小	續	輝	縮	生	黨	績	總	川	牛	製	世	省	常	當	少	緣	覺	綜	街	淑	線	繼	身	堂	縱
Ｔ	頁	檢	夢	替	臺	碼	樓	想	丁	面	極	充	相	木	可	弟	棒	械	標	哥	樣	模	禁	更	構	楚
Ｕ	雨	預	遣	勝	月	熊	脾	態	予	于	粵	能	參	永	台	才	鮮	脫	罪	衡	服	越	遙	又	墾	腳
Ｖ	鬼	賴	副	智	佳	無	矮	怎	差	弗	表	覽	每	邁	詹	複	裡	介	舞	集	鬆	、	速	敏	万	礙
Ｗ	瓦	顏	濁	響	武	濕	溉	濾	了	午	漲	流	海	水	谷	激	灣	測	漂	梁	法	巫	滋	文	洲	汽
Ｘ	專	鄰	蜜	藉	密	網	諸	徐	鄉	升	夸	奄	儲	食	商	牙	蓄	薄	綠	操	殺	贏	隨	氏	在	存
Ｙ	原	都	聲	勢	士	熱	趕	摯	款	幸	壞	起	趁	厭	超	牙	嘉	境	末	願	報	土	遠	憂	州	執
Ｚ	舟	籲	趨	籍	止	盤	孤	慮	竹	子	虧	乙	偵	餐	店	第	戲	劇	歲	築	般	處	遽	丸	塑	乙

